n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[4],0.16,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.015997968492051203,1.0
[4],0.16,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.017139945750720573,1.0
[4],0.16,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.030784289784686926,0.92
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.028024348939614696,1.0
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.02170121586823154,0.96
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.025508972568778477,0.92
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.010587803045698237,1.0
[4],0.16,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.018245454434777576,1.0
[4],0.16,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.01381367784935595,1.0
[4],0.16,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.020198025346494695,0.96
[4],0.16,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.0282660334260698,0.92
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.010041861589586778,0.96
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.01345944974538211,1.0
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.012320438326754939,1.0
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.011893103660021092,1.0
[3],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.012003403008786525,0.96
[3],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.004205561044668479,1.0
[3],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.036669201974703684,0.88
[3],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.008791517153667675,1.0
[3],0.16,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.012585009167646188,1.0
[3],0.16,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.02474979209073878,0.92
[3],0.16,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.017263705000860375,1.0
[3],0.16,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.014991580760172445,1.0
[3],0.16,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.014818693571680445,0.96
[3],0.16,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.029041540635683948,0.88
[3],0.16,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.016329749828437226,0.96
[3],0.16,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.01511772383920446,0.96
[3],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.015222952370470418,0.96
[3],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.04745954447760962,0.84
[3],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.00916432907441109,0.96
[3],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.01753756584854416,0.96
[3],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.015060760285839357,0.96
[3],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.019442480746205262,0.96
[3],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.01893270161975998,0.96
[3],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.01584705503549322,0.96
[3],0.16,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.033447035014634315,0.92
[3],0.16,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.02757966554370095,0.88
